scenario,env_id,inst_type,instruction,succeeded,steps_to_succeed,total_interactions
3,multiple_goals_8_0,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,False,inf,11
3,multiple_goals_7_1,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,True,2,2
3,multiple_goals_10_2,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,True,12,12
3,multiple_goals_7_3,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,True,20,20
3,multiple_goals_8_4,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,False,inf,17
3,multiple_goals_9_5,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,False,inf,10
3,multiple_goals_10_6,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,True,22,22
3,multiple_goals_11_7,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,True,1,1
3,multiple_goals_7_8,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,False,inf,26
3,multiple_goals_9_9,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,False,inf,9
3,multiple_goals_8_20,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,True,2,2
3,multiple_goals_9_27,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,True,4,4
3,multiple_goals_7_29,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,False,inf,14
3,multiple_goals_11_31,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,False,inf,13
3,multiple_goals_7_33,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,False,inf,15
3,multiple_goals_10_34,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,False,inf,19
3,multiple_goals_11_37,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,True,34,34
3,multiple_goals_9_38,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,True,3,3
3,multiple_goals_7_39,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,True,7,7
3,multiple_goals_11_40,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,False,inf,12
3,multiple_goals_10_43,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,False,inf,18
3,multiple_goals_9_44,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,False,inf,40
3,multiple_goals_10_45,low,Walk forward until you hit a wall, then turn and keep walking forward until you hit the goal.,True,17,18
