scenario,env_id,inst_type,instruction,succeeded,steps_to_succeed,total_interactions
1,door_key_8_0,high,Get to the goal.,False,inf,2
1,door_key_11_1,high,Get to the goal.,False,inf,6
1,door_key_10_2,high,Get to the goal.,False,inf,23
1,door_key_8_3,high,Get to the goal.,False,inf,3
1,door_key_8_4,high,Get to the goal.,False,inf,2
1,door_key_9_5,high,Get to the goal.,False,inf,2
1,door_key_8_6,high,Get to the goal.,False,inf,12
1,door_key_10_7,high,Get to the goal.,False,inf,5
1,door_key_10_8,high,Get to the goal.,False,inf,4
1,door_key_7_10,high,Get to the goal.,False,inf,5
1,door_key_7_11,high,Get to the goal.,False,inf,2
1,door_key_9_12,high,Get to the goal.,False,inf,2
1,door_key_8_13,high,Get to the goal.,False,inf,2
1,door_key_7_14,high,Get to the goal.,False,inf,2
1,door_key_11_15,high,Get to the goal.,False,inf,2
1,door_key_8_16,high,Get to the goal.,False,inf,3
1,door_key_7_17,high,Get to the goal.,False,inf,2
1,door_key_9_18,high,Get to the goal.,False,inf,2
1,door_key_10_19,high,Get to the goal.,False,inf,4
1,door_key_11_20,high,Get to the goal.,False,inf,2
1,door_key_11_21,high,Get to the goal.,False,inf,2
1,door_key_11_22,high,Get to the goal.,False,inf,2
1,door_key_8_23,high,Get to the goal.,False,inf,11
1,door_key_7_25,high,Get to the goal.,False,inf,8
1,door_key_8_26,high,Get to the goal.,False,inf,2
1,door_key_10_27,high,Get to the goal.,False,inf,10
1,door_key_9_28,high,Get to the goal.,False,inf,2
1,door_key_7_29,high,Get to the goal.,False,inf,3
1,door_key_11_30,high,Get to the goal.,False,inf,2
1,door_key_11_33,high,Get to the goal.,False,inf,5
1,door_key_9_34,high,Get to the goal.,False,inf,4
1,door_key_10_35,high,Get to the goal.,False,inf,2
1,door_key_10_36,high,Get to the goal.,False,inf,6
1,door_key_10_37,high,Get to the goal.,False,inf,7
1,door_key_10_39,high,Get to the goal.,False,inf,2
1,door_key_9_40,high,Get to the goal.,False,inf,4
1,door_key_7_41,high,Get to the goal.,False,inf,2
1,door_key_11_42,high,Get to the goal.,False,inf,2
1,door_key_10_43,high,Get to the goal.,False,inf,2
1,door_key_7_44,high,Get to the goal.,False,inf,4
1,door_key_9_45,high,Get to the goal.,False,inf,2
1,door_key_10_46,high,Get to the goal.,False,inf,2
1,door_key_9_47,high,Get to the goal.,False,inf,8
1,door_key_11_48,high,Get to the goal.,False,inf,2
1,door_key_10_49,high,Get to the goal.,False,inf,4
1,door_key_9_50,high,Get to the goal.,False,inf,11
1,door_key_11_51,high,Get to the goal.,False,inf,32
1,door_key_8_52,high,Get to the goal.,False,inf,2
1,door_key_10_53,high,Get to the goal.,False,inf,8
1,door_key_8_54,high,Get to the goal.,False,inf,2
1,door_key_11_56,high,Get to the goal.,False,inf,2
1,door_key_11_57,high,Get to the goal.,False,inf,2
1,door_key_10_58,high,Get to the goal.,False,inf,2
1,door_key_7_59,high,Get to the goal.,False,inf,2
1,door_key_8_61,high,Get to the goal.,False,inf,2
1,door_key_7_62,high,Get to the goal.,False,inf,2
1,door_key_10_63,high,Get to the goal.,False,inf,4
1,door_key_11_64,high,Get to the goal.,False,inf,2
1,door_key_11_65,high,Get to the goal.,False,inf,2
1,door_key_11_67,high,Get to the goal.,False,inf,2
1,door_key_10_70,high,Get to the goal.,False,inf,2
1,door_key_8_71,high,Get to the goal.,False,inf,2
1,door_key_9_72,high,Get to the goal.,False,inf,3
1,door_key_11_73,high,Get to the goal.,False,inf,2
1,door_key_11_74,high,Get to the goal.,False,inf,2
1,door_key_8_75,high,Get to the goal.,False,inf,2
1,door_key_11_76,high,Get to the goal.,False,inf,2
1,door_key_10_77,high,Get to the goal.,False,inf,5
1,door_key_9_78,high,Get to the goal.,False,inf,13
1,door_key_11_79,high,Get to the goal.,False,inf,2
1,door_key_11_82,high,Get to the goal.,False,inf,4
1,door_key_8_83,high,Get to the goal.,False,inf,17
1,door_key_11_84,high,Get to the goal.,False,inf,8
1,door_key_7_85,high,Get to the goal.,False,inf,2
1,door_key_8_86,high,Get to the goal.,False,inf,3
1,door_key_7_87,high,Get to the goal.,False,inf,6
1,door_key_11_88,high,Get to the goal.,False,inf,13
1,door_key_7_89,high,Get to the goal.,False,inf,5
1,door_key_7_90,high,Get to the goal.,False,inf,5
1,door_key_11_91,high,Get to the goal.,False,inf,3
1,door_key_8_93,high,Get to the goal.,False,inf,2
1,door_key_7_94,high,Get to the goal.,False,inf,2
1,door_key_7_98,high,Get to the goal.,False,inf,2
1,door_key_9_99,high,Get to the goal.,False,inf,2
