scenario,env_id,inst_type,instruction,succeeded,steps_to_succeed,total_interactions
3,multiple_goals_11_7,high,Get to the goal.,True,1,1
3,multiple_goals_8_35,high,Get to the goal.,False,inf,2
3,multiple_goals_10_47,high,Get to the goal.,False,inf,2
3,multiple_goals_11_65,high,Get to the goal.,False,inf,2
3,multiple_goals_11_75,high,Get to the goal.,False,inf,2
3,multiple_goals_10_87,high,Get to the goal.,False,inf,2
3,multiple_goals_8_0,high,Get to the goal.,False,inf,5
3,multiple_goals_7_1,high,Get to the goal.,True,2,2
3,multiple_goals_10_2,high,Get to the goal.,False,inf,8
3,multiple_goals_7_3,high,Get to the goal.,False,inf,8
3,multiple_goals_8_4,high,Get to the goal.,False,inf,5
3,multiple_goals_9_5,high,Get to the goal.,False,inf,8
3,multiple_goals_10_6,high,Get to the goal.,False,inf,8
3,multiple_goals_11_7,high,Get to the goal.,True,1,1
3,multiple_goals_7_8,high,Get to the goal.,False,inf,8
3,multiple_goals_9_9,high,Get to the goal.,True,10,11
3,multiple_goals_7_10,high,Get to the goal.,False,inf,10
3,multiple_goals_8_11,high,Get to the goal.,False,inf,8
3,multiple_goals_9_12,high,Get to the goal.,False,inf,6
3,multiple_goals_11_14,high,Get to the goal.,False,inf,26
3,multiple_goals_11_15,high,Get to the goal.,False,inf,6
3,multiple_goals_11_16,high,Get to the goal.,False,inf,12
3,multiple_goals_11_17,high,Get to the goal.,False,inf,8
3,multiple_goals_10_18,high,Get to the goal.,False,inf,5
3,multiple_goals_10_19,high,Get to the goal.,False,inf,10
3,multiple_goals_8_20,high,Get to the goal.,True,2,2
3,multiple_goals_10_21,high,Get to the goal.,False,inf,11
3,multiple_goals_10_22,high,Get to the goal.,False,inf,9
3,multiple_goals_9_23,high,Get to the goal.,False,inf,6
3,multiple_goals_11_24,high,Get to the goal.,False,inf,8
3,multiple_goals_11_26,high,Get to the goal.,False,inf,9
3,multiple_goals_9_27,high,Get to the goal.,True,4,4
3,multiple_goals_10_28,high,Get to the goal.,True,11,11
3,multiple_goals_7_29,high,Get to the goal.,False,inf,5
3,multiple_goals_8_30,high,Get to the goal.,False,inf,9
3,multiple_goals_11_31,high,Get to the goal.,False,inf,8
3,multiple_goals_10_32,high,Get to the goal.,False,inf,9
3,multiple_goals_7_33,high,Get to the goal.,False,inf,3
3,multiple_goals_10_34,high,Get to the goal.,False,inf,6
3,multiple_goals_8_35,high,Get to the goal.,False,inf,10
3,multiple_goals_9_36,high,Get to the goal.,False,inf,7
3,multiple_goals_9_38,high,Get to the goal.,True,3,3
3,multiple_goals_7_39,high,Get to the goal.,True,6,6
3,multiple_goals_11_40,high,Get to the goal.,False,inf,14
3,multiple_goals_11_41,high,Get to the goal.,False,inf,9
3,multiple_goals_7_42,high,Get to the goal.,False,inf,8
3,multiple_goals_10_43,high,Get to the goal.,False,inf,10
3,multiple_goals_9_44,high,Get to the goal.,False,inf,7
3,multiple_goals_9_46,high,Get to the goal.,False,inf,7
3,multiple_goals_10_47,high,Get to the goal.,False,inf,9
3,multiple_goals_11_48,high,Get to the goal.,False,inf,7
3,multiple_goals_7_49,high,Get to the goal.,False,inf,10
